inferred_dataset_name,task_type,priority,root_path,file_count,total_size_gb,extensions,subject_count_guess,session_count_guess,expected_subject_files,found_expected_files,has_train_eval_split_guess,format,likely_loader,do_not_copy_confirmed,notes,status,mi_priority_score,usability_score,existing_loader_compatibility_score
BCIC-IV-2a / BNCI2014-001,MI,primary,/ai/224duibishiyan/CBraMod-main/tmp_in/BCIC2a/MNE-bnci-data,36,1.452628,.mat:36,9,2,"A01T.mat,A01E.mat,A02T.mat,A02E.mat,A03T.mat,A03E.mat,A04T.mat,A04E.mat,A05T.mat,A05E.mat,A06T.mat,A06E.mat,A07T.mat,A07E.mat,A08T.mat,A08E.mat,A09T.mat,A09E.mat","A01T.mat,A01E.mat,A02T.mat,A02E.mat,A03T.mat,A03E.mat,A04T.mat,A04E.mat,A05T.mat,A05E.mat,A06T.mat,A06E.mat,A07T.mat,A07E.mat,A08T.mat,A08E.mat,A09T.mat,A09E.mat",True,.mat,existing sas_cert BCIC2a raw/MOABB loader,True,"Expected 18 files; found 18. Patterns: A01T.mat, A01E.mat, A02T.mat, A02E.mat, A03T.mat, A03E.mat",ready,100,100,100
PhysioNetMI / EEGMMI,MI,secondary,/ai/224duibishiyan/CBraMod-main/tmp_in/MI/files,3052,3.366305,.edf:1526;.event:1526,109,14,"109_subjects_x_14_runs_edf,109_subjects_x_14_runs_event","1526_edf,1526_event",False,.edf;.event,MNE EEGBCI / MOABB PhysionetMI,True,"PhysioNet EEGMMI raw MI root; expected 109 subjects x 14 runs. Found markers: 1526_edf, 1526_event.",ready,75,100,70
CHB-MIT,seizure,optional,/ai/224duibishiyan,1377,75.585256,.csv:108;.edf:1269,0,0,,,False,.csv;.edf,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv",likely_ready,30,30,30
DEAP,emotion,optional,/ai/224duibishiyan/新研究/EEG/EEG_OSR_Mainline_Active/external_repos/eeg_external_experts/PESD/DATA,1,0.0,.npy:1,0,0,,,False,.npy,manual inspection required,True,Recorded file name patterns only; no data copied. Example files: DEAP_record_list.npy,likely_ready,30,20,30
P300 / ERP,p300,optional,/ai/224duibishiyan,632,34.219731,.csv:225;.edf:41;.mat:8;.npy:30;.npz:2;.pkl:246;.set:80,139,0,,,True,.csv;.edf;.mat;.npy;.npz;.pkl;.set,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv, adapter_finetune_log.csv",likely_ready,30,30,30
SEED / SEED-IV,emotion,optional,/ai/224duibishiyan,7862,518.462766,.cnt:480;.csv:3071;.mat:2575;.npy:5;.npz:1730;.pkl:1,17,0,,,True,.cnt;.csv;.mat;.npy;.npz;.pkl,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: seedv_finetune_log.csv, seedv_finetune_log.csv, seedv_finetune_log.csv, seedv_finetune_log.csv, seedv_finetune_log.csv",likely_ready,30,30,30
Sleep / ISRUC,sleep,optional,/ai/224duibishiyan,7570,31.066514,.edf:90;.npy:7480,10,0,,,False,.edf;.npy,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: Subject_1.edf, Subject_10.edf, Subject_2.edf, Subject_3.edf, Subject_4.edf",likely_ready,30,30,30
unknown::01_papers_reproduce,unknown,exclude,/ai/224duibishiyan,4,1e-05,.csv:4,0,0,,,False,.csv,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: paper_metadata.csv, reproduce_list.csv, paper_metadata.csv, reproduce_list.csv",unknown,10,20,30
unknown::02_papers_reading,unknown,exclude,/ai/224duibishiyan,4,3.4e-05,.csv:4,0,0,,,False,.csv,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: reading_list.csv, reading_paper_metadata.csv, reading_list.csv, reading_paper_metadata.csv",unknown,10,20,30
unknown::04_repo_audit,unknown,exclude,/ai/224duibishiyan,2,5e-06,.csv:2,0,0,,,False,.csv,manual inspection required,True,"Recorded file name patterns only; no data copied. Example files: repo_audit_table.csv, repo_audit_table.csv",unknown,10,20,30
