comparison,mean_delta,metric,n,positive_folds
SoftWeightArtifactReject_minus_NaiveAug,0.01787551440329218,acc,27,18
SoftWeightArtifactReject_minus_NaiveAug,0.02043688546983737,macro_f1,27,19
SoftWeightArtifactReject_minus_NaiveAug,0.014589487222395075,ece,27,19
SoftWeightArtifactReject_minus_NaiveAug,-0.0010612452471697772,nll,27,8
SoftWeightArtifactReject_minus_Random50,0.037808641975308636,acc,27,21
SoftWeightArtifactReject_minus_Random50,0.059126123647159454,macro_f1,27,23
SoftWeightArtifactReject_minus_Random50,0.003162453855567999,ece,27,15
SoftWeightArtifactReject_minus_Random50,-0.009116839479517054,nll,27,4
SoftWeightArtifactReject_minus_SASCertTop50,0.020190329218106987,acc,27,19
SoftWeightArtifactReject_minus_SASCertTop50,0.03431611264375719,macro_f1,27,20
SoftWeightArtifactReject_minus_SASCertTop50,0.014276667064967961,ece,27,19
SoftWeightArtifactReject_minus_SASCertTop50,-0.004229426383972168,nll,27,3
SoftWeightArtifactReject_minus_NoAug,0.007201646090534971,acc,27,15
SoftWeightArtifactReject_minus_NoAug,0.004653348095210385,macro_f1,27,14
SoftWeightArtifactReject_minus_NoAug,0.0021363914831169784,ece,27,12
SoftWeightArtifactReject_minus_NoAug,-0.0014791841860170717,nll,27,9
SoftWeight_minus_NaiveAug,0.015432098765432103,acc,27,17
SoftWeight_minus_NaiveAug,0.027006263544628734,macro_f1,27,22
SoftWeight_minus_NaiveAug,0.016408265000132562,ece,27,20
SoftWeight_minus_NaiveAug,-0.00039017200469970703,nll,27,7
SoftWeight_minus_Random50,0.035365226337448555,acc,27,21
SoftWeight_minus_Random50,0.06569550172195082,macro_f1,27,22
SoftWeight_minus_Random50,0.0049812316333054845,ece,27,15
SoftWeight_minus_Random50,-0.008445766237046983,nll,27,5
SoftWeight_minus_SASCertTop50,0.017746913580246906,acc,27,16
SoftWeight_minus_SASCertTop50,0.04088549071854856,macro_f1,27,18
SoftWeight_minus_SASCertTop50,0.016095444842705448,ece,27,20
SoftWeight_minus_SASCertTop50,-0.003558353141502098,nll,27,4
SoftWeight_minus_NoAug,0.004758230452674893,acc,27,14
SoftWeight_minus_NoAug,0.011222726170001751,macro_f1,27,12
SoftWeight_minus_NoAug,0.003955169260854462,ece,27,17
SoftWeight_minus_NoAug,-0.0008081109435470016,nll,27,10
ArtifactReject_minus_NaiveAug,0.015689300411522635,acc,27,14
ArtifactReject_minus_NaiveAug,0.030430012862597316,macro_f1,27,16
ArtifactReject_minus_NaiveAug,0.014927714920330626,ece,27,19
ArtifactReject_minus_NaiveAug,-0.0010937717225816515,nll,27,9
ArtifactReject_minus_Random50,0.03562242798353908,acc,27,19
ArtifactReject_minus_Random50,0.0691192510399194,macro_f1,27,23
ArtifactReject_minus_Random50,0.003500681553503551,ece,27,13
ArtifactReject_minus_Random50,-0.009149365954928927,nll,27,5
ArtifactReject_minus_SASCertTop50,0.018004115226337436,acc,27,15
ArtifactReject_minus_SASCertTop50,0.044309240036517136,macro_f1,27,20
ArtifactReject_minus_SASCertTop50,0.014614894762903514,ece,27,17
ArtifactReject_minus_SASCertTop50,-0.0042619528593840425,nll,27,6
ArtifactReject_minus_NoAug,0.005015432098765425,acc,27,13
ArtifactReject_minus_NoAug,0.014646475487970326,macro_f1,27,17
ArtifactReject_minus_NoAug,0.002474619181052528,ece,27,14
ArtifactReject_minus_NoAug,-0.001511710661428946,nll,27,10
SASCertTop50_minus_NaiveAug,-0.0023148148148148004,acc,27,13
SASCertTop50_minus_NaiveAug,-0.013879227173919819,macro_f1,27,11
SASCertTop50_minus_NaiveAug,0.0003128201574271101,ece,27,15
SASCertTop50_minus_NaiveAug,0.003168181136802391,nll,27,18
SASCertTop50_minus_Random50,0.017618312757201653,acc,27,21
SASCertTop50_minus_Random50,0.024810011003402275,macro_f1,27,19
SASCertTop50_minus_Random50,-0.011114213209399962,ece,27,12
SASCertTop50_minus_Random50,-0.0048874130955448855,nll,27,8
SASCertTop50_minus_NoAug,-0.012988683127572011,acc,27,11
SASCertTop50_minus_NoAug,-0.029662764548546803,macro_f1,27,12
SASCertTop50_minus_NoAug,-0.012140275581850988,ece,27,9
SASCertTop50_minus_NoAug,0.0027502421979550963,nll,27,18
