calibration_source,group,seed,source_val_n,target_subject,temperature
source_validation,SWAR_TempScale_SourceVal,20,452,1,4.9
source_validation,SWAR_TempScale_SourceVal,21,452,1,1.4
source_validation,SWAR_TempScale_SourceVal,22,452,1,1.75
source_validation,SWAR_TempScale_SourceVal,20,452,2,1.4
source_validation,SWAR_TempScale_SourceVal,21,452,2,2.1500000000000004
source_validation,SWAR_TempScale_SourceVal,22,452,2,0.5
source_validation,SWAR_TempScale_SourceVal,20,452,3,2.3
source_validation,SWAR_TempScale_SourceVal,21,452,3,2.8000000000000003
source_validation,SWAR_TempScale_SourceVal,22,452,3,3.0500000000000003
source_validation,SWAR_TempScale_SourceVal,20,460,4,1.35
source_validation,SWAR_TempScale_SourceVal,21,460,4,1.9500000000000002
source_validation,SWAR_TempScale_SourceVal,22,460,4,5.0
source_validation,SWAR_TempScale_SourceVal,20,452,5,3.0
source_validation,SWAR_TempScale_SourceVal,21,452,5,3.2
source_validation,SWAR_TempScale_SourceVal,22,452,5,4.8500000000000005
source_validation,SWAR_TempScale_SourceVal,20,452,6,1.25
source_validation,SWAR_TempScale_SourceVal,21,452,6,1.8
source_validation,SWAR_TempScale_SourceVal,22,452,6,0.9
source_validation,SWAR_TempScale_SourceVal,20,452,7,1.7000000000000002
source_validation,SWAR_TempScale_SourceVal,21,452,7,2.3
source_validation,SWAR_TempScale_SourceVal,22,452,7,3.25
source_validation,SWAR_TempScale_SourceVal,20,452,8,3.25
source_validation,SWAR_TempScale_SourceVal,21,452,8,3.45
source_validation,SWAR_TempScale_SourceVal,22,452,8,2.35
source_validation,SWAR_TempScale_SourceVal,20,452,9,3.95
source_validation,SWAR_TempScale_SourceVal,21,452,9,5.0
source_validation,SWAR_TempScale_SourceVal,22,452,9,3.1
