comparison,mean_delta,metric,n,positive_folds
SASCertSoftWeight_minus_NaiveAug,0.007844650205761326,acc,27,14
SASCertSoftWeight_minus_NaiveAug,0.0012821990623061153,macro_f1,27,14
SASCertSoftWeight_minus_NaiveAug,0.007409120141432731,ece,27,17
SASCertSoftWeight_minus_NaiveAug,-0.00023843182457817925,nll,27,12
SASCertSoftWeight_minus_Random50,0.027777777777777776,acc,27,21
SASCertSoftWeight_minus_Random50,0.039971437239628205,macro_f1,27,20
SASCertSoftWeight_minus_Random50,-0.0040179132253943435,ece,27,10
SASCertSoftWeight_minus_Random50,-0.008294026056925455,nll,27,7
SASCertSoftWeight_minus_NoAug,-0.002829218106995885,acc,27,14
SASCertSoftWeight_minus_NoAug,-0.014501338312320873,macro_f1,27,13
SASCertSoftWeight_minus_NoAug,-0.005043975597845367,ece,27,13
SASCertSoftWeight_minus_NoAug,-0.0006563707634254739,nll,27,16
SASCertSoftWeight_minus_SASCertTop50,0.010159465020576127,acc,27,16
SASCertSoftWeight_minus_SASCertTop50,0.015161426236225937,macro_f1,27,18
SASCertSoftWeight_minus_SASCertTop50,0.0070962999840056195,ece,27,16
SASCertSoftWeight_minus_SASCertTop50,-0.00340661296138057,nll,27,5
ArtifactReject_minus_NaiveAug,0.016846707818930048,acc,27,14
ArtifactReject_minus_NaiveAug,0.03318337618842063,macro_f1,27,16
ArtifactReject_minus_NaiveAug,0.017037372025297072,ece,27,19
ArtifactReject_minus_NaiveAug,-0.0012617817631474248,nll,27,8
ArtifactReject_minus_Random50,0.0367798353909465,acc,27,19
ArtifactReject_minus_Random50,0.07187261436574273,macro_f1,27,23
ArtifactReject_minus_Random50,0.005610338658469999,ece,27,15
ArtifactReject_minus_Random50,-0.009317375995494702,nll,27,5
ArtifactReject_minus_NoAug,0.006172839506172838,acc,27,13
ArtifactReject_minus_NoAug,0.017399838813793648,macro_f1,27,16
ArtifactReject_minus_NoAug,0.004584276286018977,ece,27,12
ArtifactReject_minus_NoAug,-0.0016797207019947193,nll,27,13
ArtifactReject_minus_SASCertTop50,0.01916152263374485,acc,27,16
ArtifactReject_minus_SASCertTop50,0.04706260336234044,macro_f1,27,19
ArtifactReject_minus_SASCertTop50,0.01672455186786996,ece,27,19
ArtifactReject_minus_SASCertTop50,-0.004429962899949815,nll,27,6
SoftWeightArtifactReject_minus_NaiveAug,0.011574074074074079,acc,27,17
SoftWeightArtifactReject_minus_NaiveAug,0.014293837205182446,macro_f1,27,18
SoftWeightArtifactReject_minus_NaiveAug,0.008254898930497375,ece,27,18
SoftWeightArtifactReject_minus_NaiveAug,-0.0008749343730785229,nll,27,11
SoftWeightArtifactReject_minus_Random50,0.031507201646090534,acc,27,20
SoftWeightArtifactReject_minus_Random50,0.052983075382504546,macro_f1,27,21
SoftWeightArtifactReject_minus_Random50,-0.0031721344363296986,ece,27,14
SoftWeightArtifactReject_minus_Random50,-0.0089305286054258,nll,27,6
SoftWeightArtifactReject_minus_NoAug,0.0009002057613168671,acc,27,11
SoftWeightArtifactReject_minus_NoAug,-0.0014897001694445379,macro_f1,27,13
SoftWeightArtifactReject_minus_NoAug,-0.004198196808780721,ece,27,11
SoftWeightArtifactReject_minus_NoAug,-0.0012928733119258174,nll,27,12
SoftWeightArtifactReject_minus_SASCertTop50,0.01388888888888888,acc,27,15
SoftWeightArtifactReject_minus_SASCertTop50,0.028173064379102268,macro_f1,27,21
SoftWeightArtifactReject_minus_SASCertTop50,0.007942078773070266,ece,27,20
SoftWeightArtifactReject_minus_SASCertTop50,-0.0040431155098809134,nll,27,5
SASCertTop50_minus_NaiveAug,-0.0023148148148148004,acc,27,13
SASCertTop50_minus_NaiveAug,-0.013879227173919819,macro_f1,27,11
SASCertTop50_minus_NaiveAug,0.0003128201574271101,ece,27,15
SASCertTop50_minus_NaiveAug,0.003168181136802391,nll,27,18
SASCertTop50_minus_Random50,0.017618312757201653,acc,27,21
SASCertTop50_minus_Random50,0.024810011003402275,macro_f1,27,19
SASCertTop50_minus_Random50,-0.011114213209399962,ece,27,12
SASCertTop50_minus_Random50,-0.0048874130955448855,nll,27,8
SASCertTop50_minus_NoAug,-0.012988683127572011,acc,27,11
SASCertTop50_minus_NoAug,-0.029662764548546803,macro_f1,27,12
SASCertTop50_minus_NoAug,-0.012140275581850988,ece,27,9
SASCertTop50_minus_NoAug,0.0027502421979550963,nll,27,18
