acc,ece,group,kappa,layer,macro_f1,n_train,nll,seed,target_subject
0.6493055555555556,0.2002384385301007,NoAug,0.5324074074074074,layer3,0.6385429316132389,20,0.9684717655181885,20,1
0.65625,0.19837978854775426,NaiveAug,0.5416666666666666,layer3,0.647863939132822,120,0.9392964243888855,20,1
0.6111111111111112,0.15322391543951297,Random50,0.48148148148148157,layer3,0.5917415238811844,70,0.9769575595855713,20,1
0.6666666666666666,0.20499846732450852,SASCertTop50,0.5555555555555555,layer3,0.6535144461485183,70,0.9414422512054443,20,1
0.6805555555555556,0.19639875988165537,NoAug,0.5740740740740741,layer3,0.6719966967214617,20,0.8754810690879822,21,1
0.6527777777777778,0.1532222961799966,NaiveAug,0.5370370370370371,layer3,0.6365956958234067,120,0.8495464324951172,21,1
0.6909722222222222,0.20871044209020007,Random50,0.5879629629629629,layer3,0.6871409166373195,70,0.8697131276130676,21,1
0.6736111111111112,0.17354706105672651,SASCertTop50,0.5648148148148149,layer3,0.6583873140218662,70,0.861126720905304,21,1
0.6944444444444444,0.20298999754918945,NoAug,0.5925925925925926,layer3,0.6756202148099716,20,0.8821011185646057,22,1
0.65625,0.183740829428037,NaiveAug,0.5416666666666666,layer3,0.6206608103232735,120,0.8879261612892151,22,1
0.6909722222222222,0.1844014555422796,Random50,0.5879629629629629,layer3,0.6702386993251459,70,0.8654061555862427,22,1
0.6875,0.16752051789727476,SASCertTop50,0.5833333333333334,layer3,0.6563126494821178,70,0.8720760345458984,22,1
0.3020833333333333,0.20298362789779073,NoAug,0.06944444444444442,layer3,0.2337169867947179,20,1.5089681148529053,20,2
0.3402777777777778,0.08613692524118555,NaiveAug,0.12037037037037039,layer3,0.3006435259766717,120,1.4186384677886963,20,2
0.3229166666666667,0.18414439219567508,Random50,0.09722222222222225,layer3,0.2957460567754685,70,1.4615949392318726,20,2
0.3055555555555556,0.19511881196457478,SASCertTop50,0.07407407407407411,layer3,0.2587438694547945,70,1.5419137477874756,20,2
0.3368055555555556,0.1092302743345499,NoAug,0.11574074074074077,layer3,0.2999388795698455,20,1.3703866004943848,21,2
0.3402777777777778,0.09316592963619365,NaiveAug,0.12037037037037039,layer3,0.31276126205293003,120,1.4173834323883057,21,2
0.3472222222222222,0.08305156003269884,Random50,0.12962962962962962,layer3,0.33082798329256824,70,1.3582875728607178,21,2
0.3576388888888889,0.057357447635796345,SASCertTop50,0.14351851851851852,layer3,0.34446723959337316,70,1.346854567527771,21,2
0.3923611111111111,0.05511782070000967,NoAug,0.1898148148148148,layer3,0.36368205111973806,20,1.367074966430664,22,2
0.3263888888888889,0.13875872641801834,NaiveAug,0.10185185185185186,layer3,0.296381419550202,120,1.405580759048462,22,2
0.3090277777777778,0.1689335525346299,Random50,0.07870370370370372,layer3,0.26873579396678016,70,1.4429978132247925,22,2
0.4027777777777778,0.07075454677558607,SASCertTop50,0.20370370370370372,layer3,0.38709605887054155,70,1.361146092414856,22,2
0.6215277777777778,0.12666506651375029,NoAug,0.4953703703703704,layer3,0.6193193082354215,20,0.9321438670158386,20,3
0.625,0.1325991041958332,NaiveAug,0.5,layer3,0.6283955140224374,120,0.9320665001869202,20,3
0.6458333333333334,0.16680571695582738,Random50,0.5277777777777778,layer3,0.6474095394736843,70,0.9345862865447998,20,3
0.6319444444444444,0.1404197978683644,SASCertTop50,0.5092592592592592,layer3,0.6304766238739582,70,0.9090442657470703,20,3
0.6354166666666666,0.13341652270820403,NoAug,0.5138888888888888,layer3,0.6429269942492832,20,0.8905424475669861,21,3
0.6666666666666666,0.15659214111251968,NaiveAug,0.5555555555555555,layer3,0.6774234307029381,120,0.8929526209831238,21,3
0.6631944444444444,0.16256385700156292,Random50,0.5509259259259259,layer3,0.6717343143101815,70,0.8995605111122131,21,3
0.6840277777777778,0.16935045085847375,SASCertTop50,0.5787037037037037,layer3,0.6896650630091622,70,0.8444814682006836,21,3
0.6597222222222222,0.15186367328796122,NoAug,0.5462962962962963,layer3,0.6548681510507027,20,0.92117840051651,22,3
0.6909722222222222,0.17659447238677073,NaiveAug,0.5879629629629629,layer3,0.6883533340102763,120,0.8889496326446533,22,3
0.6527777777777778,0.14005123699704805,Random50,0.5370370370370371,layer3,0.6465367802690715,70,0.908644437789917,22,3
