target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,0.08333333333333326,0.07441465179059803,0.060265369074685216,0.00033335146159318985,0.00030109286308288574,1
90,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,0.05555555555555547,0.04953379953379966,0.03308182443891253,-0.0012036089251318272,-0.001206129789352417,1
90,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,0.0326797385620915,0.06569885788812913,0.03192228249141148,-0.00011911004714004747,-9.351968765258789e-05,1
90,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,0.006535947712418277,0.06865656270918796,0.008157827172960555,-0.0006719359490877652,-0.0006474852561950684,1
91,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,0.06209150326797397,0.07586367880485545,0.08813062139919826,-0.0020749571138307665,-0.0020675063133239746,1
91,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,0.004901960784313819,0.016339869281045916,0.03300848262650627,-0.0006706474517558236,-0.0006664097309112549,1
91,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,-0.07843137254901966,-0.043464907595342495,0.07878302761486598,-0.0007528749748024754,-0.0007325112819671631,0
91,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,-0.07843137254901966,-0.043464907595342495,0.08288413882255553,-0.0001937010265469219,-0.00017258524894714355,0
92,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,-0.0018181818181817744,0.06322389420884633,-0.011121636692513814,-0.0037481555265953537,-0.0037488937377929688,1
92,20,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,0.03818181818181826,0.12751073797861234,-0.056663545205238,-0.005512729898279112,-0.005500733852386475,1
92,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NoAug_LS010,0.03999999999999998,0.03730158730158728,0.03684363117877472,-9.905738577209444e-05,-0.0001004934310913086,1
92,21,RepairedSoftWeight_artifact_gate_physio_LS010-vs-NaiveAug_LS010,0.03999999999999998,0.03730158730158728,0.03586249021773641,-0.0006033522437896011,-0.0006051063537597656,1
