target_subject,seed,n_candidates,threshold_percentile,artifact_threshold,reject_rate,clean_reject_rate,bad_artifact_reject_rate,bad_content_reject_rate,bad_physio_reject_rate,rejected_clean_fraction,rejected_bad_artifact_fraction,kept_bad_artifact_rate,mean_content_rejected,mean_content_kept,delta_macro_f1_softar_vs_softweight,delta_bacc_softar_vs_softweight,delta_ece_softar_vs_softweight,delta_macro_f1_softar_vs_naive,delta_macro_f1_softar_vs_artifactreject
100,20,50,90.0,1044.8875427246098,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8775510191917419,0.45804988936417634,0.0,0.0,-0.03385622570147884,-0.04320625610948203,0.0
100,21,50,90.0,1574.8556274414066,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8326530694961548,0.4630385504414638,0.042117022762183876,0.038461538461538436,-0.0024332782396902786,0.042117022762183876,0.0
100,22,50,90.0,1427.4515014648446,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8816326498985291,0.45759637484119997,-0.03783068783068777,-0.03846153846153855,-0.01104231064136213,0.0023099561330446328,-0.03783068783068777
100,23,50,90.0,798.2024719238287,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8938775658607483,0.45623582862317563,0.0,0.0,-0.006059089532265305,0.03817663817663808,0.03817663817663808
100,24,50,90.0,984.3671997070314,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9020408153533935,0.4553288009017706,0.0,0.0,0.0012919742327470174,0.0,0.0
101,20,50,90.0,1052.2745117187503,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8979591965675354,0.45578231410019926,-0.028665028665028625,-0.02941176470588236,0.0044144238744463354,-0.028665028665028625,-0.028665028665028625
101,21,50,90.0,1586.1989379882816,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.7795918345451355,0.4689342432137993,0.028524743230625593,0.02941176470588236,-0.009978891270501292,0.0,0.0
101,22,50,90.0,1426.745947265626,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9591836810112,0.4489795936064588,0.0,0.0,-0.001007441111973359,0.0,0.0
101,23,50,90.0,799.7068603515631,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9306122541427613,0.45215419659184086,0.0,0.0,-0.0008241057395935031,0.0,0.0
101,24,50,90.0,987.0067871093752,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8979591965675354,0.45578231410019926,0.0,0.0,-0.008900465284075065,0.0,0.0
102,20,50,90.0,958.6080200195316,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8816326498985291,0.45759637484119997,-0.027283041661225083,-0.02941176470588236,-0.019929911409105577,0.027486367946894297,-0.0018812349501203807
102,21,50,90.0,1463.2371948242192,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8,0.4666666692743699,0.0,0.0,-0.08405733960015432,0.0,0.06325560817001152
102,22,50,90.0,1340.3614746093758,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9265306234359741,0.4526077111148172,0.0,0.0,-0.029994194848196876,0.0,0.0
102,23,50,90.0,746.1950134277349,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8857142925262451,0.45714285899367596,0.008333333333333415,-0.0016339869281045694,0.042434063979557624,0.008333333333333415,-0.025658816932996875
102,24,50,90.0,901.1398010253907,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9061224579811096,0.45487528505424657,0.026978850508262264,0.02777777777777779,-0.032932980997221806,-0.08740023445905798,-0.08740023445905798
103,20,50,90.0,1057.5963867187504,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9142857193946838,0.4539682560082939,0.0,0.0,0.003092950156756813,0.05611325611325613,0.05611325611325613
103,21,50,90.0,1595.7637695312503,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.7714285790920258,0.4698412715974781,0.02677832919768397,0.02777777777777779,-0.006550950663430394,0.02677832919768397,0.02677832919768397
103,22,50,90.0,1445.0014160156259,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9020408272743226,0.45532879957722294,0.0,0.0,-0.010628400530133891,0.03110902255639092,0.03110902255639092
103,23,50,90.0,810.6967834472663,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9102040886878967,0.45442177053127025,0.027821939586645583,0.02777777777777779,-0.06496579561914717,-0.054769409608119046,-0.054769409608119046
103,24,50,90.0,1002.2179199218751,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9306122541427613,0.45215419659184086,-0.027486367946894075,-0.02777777777777779,-0.00832839097295493,-0.001029601029600924,-0.001029601029600924
104,20,50,90.0,1031.697338867188,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8938775539398194,0.45623582994772327,-0.06860850998782042,-0.0625,-0.02513234643265605,-0.06860850998782042,0.0
104,21,50,90.0,1573.1438842773441,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8734693884849548,0.45850340388715266,0.0,0.0,-0.008667954243719578,0.0,0.0
104,22,50,90.0,1417.2887451171885,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9061224579811096,0.45487528505424657,0.0,0.0,0.006153631955385208,-0.02802802802802795,-0.02802802802802795
104,23,50,90.0,789.3594360351568,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.9142857193946838,0.4539682560082939,-0.06151960784313726,-0.0625,0.061153069138526917,0.0625,0.0625
104,24,50,90.0,969.4212768554689,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8693877458572388,0.45895691973467667,0.0,0.0,0.03277861326932907,-0.03054453452935435,-0.03054453452935435
105,20,50,90.0,1026.7549499511722,0.1,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.8775510191917419,0.45804988936417634,0.0,0.0,0.0002196601458958336,0.02861811391223157,0.02861811391223157
