target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.0007618214402879964,-0.00880112546511247,-0.00989621877670288,0
90,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.0277777777777779,0.028102969279439893,0.056534343142603416,0.02614379084967322,0.0305492333003453,-0.022008421240594545,-0.014707282185554504,1
90,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,-0.047254717350006095,-0.006727887133046173,-0.007697299122810364,0
90,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.008974167278834752,0.0035131743283317585,0.0027398914098739624,0
90,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,-0.023399848597390305,-0.006448360944899367,-0.00255371630191803,0
91,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,0.00820220538548061,-0.003934457702248317,-0.004515975713729858,0
91,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,-0.0033829637936183266,0.015777274622071902,0.00802546739578247,0
91,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.04978958708899364,0.008636310836382055,-0.00012755393981933594,0
91,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0032679738562091387,0.00630166190011161,0.017793398116596415,0.00516316294670105,0
91,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.018653845787048345,0.003643113426124389,-0.0004722177982330322,0
92,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,-0.0027272727272726893,-0.0007740447957839125,-0.002317935229327661,0.001818181818181941,-0.004762040807845758,0.0013046764386233645,0.0017486810684204102,0
92,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.00545454545454549,-0.022540509066683145,-0.01722333348079802,-0.012082457542419434,0
92,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.048887325094101264,-0.013873943536180045,-0.009654223918914795,0
92,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.021276595744680882,-0.020000000000000018,-0.021121418264275382,-0.0421462128080442,0.0036363636363636598,-0.020724212869684733,-0.0022243512562762358,0.0008406192064285278,0
92,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.021276595744680882,-0.022727272727272707,-0.022282710386714033,-0.04378855083222044,-0.0018181818181818299,0.023261145074316786,0.013051311116014708,0.00879766047000885,0
93,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,0.015112778118678505,0.018678460535797248,-0.0014647841453552246,0
93,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02941176470588225,-0.025119147743201564,-0.05800670253200946,-0.0032679738562091387,0.009472012945583863,0.018895228623199145,0.008361279964447021,0
93,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.013071895424836555,0.02180325218609397,0.004717476626032724,-0.005971670150756836,0
93,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.0064486537660871646,0.013861505437500643,0.007732570171356201,0
93,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0032679738562091387,0.010958031245640432,-0.012558639413682515,-0.003180384635925293,0
94,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.0009713939258030324,-0.006588516609154604,-0.0036300718784332275,0
94,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.08571428571428574,-0.08823529411764719,-0.09497223206900629,-0.17525890520086485,-0.0326797385620915,0.07576073748724804,0.10610135300481394,0.07476559281349182,0
94,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777779,-0.025909842845326714,-0.056147912885662454,0.009803921568627416,0.03742989216532028,-0.011268905762081283,-0.009599626064300537,0
94,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0065359477124183885,-0.023446805136544374,-0.0068334567004813,-0.005509614944458008,0
94,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.013071895424836555,0.08789252298218864,0.03827486153974191,0.014709413051605225,0
95,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777779,-0.023874704107262223,-0.05651031689562691,0.016339869281045694,0.02520946179117478,-0.011026370729615098,-0.005784928798675537,0
95,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02777777777777768,0.028851540616246396,0.055980360378551586,-0.0032679738562091387,-0.009908401114600035,-0.015135278178442735,-0.0002911686897277832,1
95,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.013071895424836444,0.020303647858755908,0.018512474915409638,0.01409199833869934,0
95,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,0.030107644626072516,0.006777232173628467,0.00700223445892334,0
95,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0032679738562092497,0.025483193567820944,0.0086979648064337,0.0052606165409088135,0
96,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777768,-0.028431372549019618,-0.056536480823977,-0.013071895424836666,-0.01658819913864136,0.013797446872017338,0.010842114686965942,0
96,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.009803921568627416,0.01938043066433498,0.010979001614018713,0.008907556533813477,0
96,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,0.03859348211969649,-0.008738264570262888,-0.0009210109710693359,0
96,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02941176470588236,-0.029607957239536242,-0.05803439671594535,-0.0032679738562091387,-0.04195479410035269,0.015982713439452623,0.013213425874710083,0
96,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562091387,-0.0065968453884125144,0.010890119861123204,0.011334285140037537,0
97,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02941176470588236,0.030079421526790107,0.05841002387915539,0.013071895424836555,-0.013767143658229286,-0.03761591561038591,-0.013097226619720459,1
97,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.009803921568627416,0.02594990474837172,0.028985279227440097,0.012350499629974365,0
97,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0032679738562091387,0.013142830984933046,-0.008839138200582797,0.0012959837913513184,0
97,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02941176470588247,-0.028102969279439893,-0.05765207489208446,-0.0032679738562091387,-0.04077039701598037,-0.01123849681092759,-0.008230268955230713,0
97,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.011551807607923237,0.005777199541925904,0.003861337900161743,0
98,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02777777777777779,0.023994093761535717,0.05632381419960186,0.022875816993464082,0.03474065831729345,0.015857181348192473,0.0033584237098693848,1
98,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02941176470588247,0.02819794584500457,0.058584098070577184,-0.006535947712418277,-0.02548205511910573,-0.0014829161131569846,-0.0011234283447265625,1
98,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777768,-0.029367602897014677,-0.05598368687269939,-0.0065359477124183885,-0.04180365715708051,-0.004732831205073618,-0.0014766454696655273,0
98,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,-0.040983186023575924,0.03478523003231904,0.022782504558563232,0
98,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0065359477124183885,-0.027113372513226153,-0.007954276128452564,-0.00028818845748901367,0
99,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0065359477124183885,-0.023940021651131738,-0.0025662067781055953,-0.006636887788772583,0
