target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,ComponentGatedV1_LS010-vs-NaiveAug_LS010,-0.02941176470588236,-0.02937222509590942,-0.02584124803543092,0.03368863396452865,0.023974239826202393,0
90,20,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.04615451863833836,0.030265606041075754,0.02289898693561554,0
90,20,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,-0.046916340078626356,0.021464568356982683,0.01300281286239624,0
90,20,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,-0.006563884871346612,0.005574424268943112,0.0030680596828460693,0
90,21,ComponentGatedV1_LS010-vs-NaiveAug_LS010,0.0016339869281045694,0.0019916148948407875,0.012124484777450553,-0.014932466577530057,-0.006993472576141357,1
90,21,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.01872118881770546,0.05633285671963273,0.03839431703090668,0
90,21,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,0.0277777777777779,0.028102969279439893,0.01182804448263984,0.034324435479038184,0.023687034845352173,1
90,21,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,0.03488290395055496,0.021624562653994595,0.013626158237457275,0
91,20,ComponentGatedV1_LS010-vs-NaiveAug_LS010,0.0,0.0,0.030149953705923882,0.004109919087043168,0.0036604702472686768,0
91,20,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.000666786943163189,-0.06790979721347867,-0.005156069993972778,0
91,20,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.007535399709429069,-0.07184422601806073,-0.009672015905380249,0
91,20,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,0.02589630229132517,-0.002433988896043293,0.00036072731018066406,0
91,21,ComponentGatedV1_LS010-vs-NaiveAug_LS010,0.0,0.0,-0.01040900264467512,-0.025570082752564782,-0.006510823965072632,0
91,21,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,-0.0277777777777779,-0.02781749369217834,0.014368970053536573,-0.033712654657502006,-0.012224644422531128,0
91,21,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,-0.0277777777777779,-0.02781749369217834,0.010986023289816738,-0.017935366617573056,-0.004199206829071045,0
91,21,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,-0.008269580772944846,-0.004933876512606072,-0.0037543773651123047,0
92,20,ComponentGatedV1_LS010-vs-NaiveAug_LS010,0.0,0.0,0.016634022935907863,0.020168070650992798,0.00931328535079956,0
92,20,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,-0.020000000000000018,-0.020830756545042295,-0.010809634594207113,0.07918125292658856,0.05384546518325806,0
92,20,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,-0.022727272727272707,-0.021604801340826207,-0.015571663988397488,0.08048598279562924,0.05559420585632324,0
92,20,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,-0.010816167009637723,0.0048904821657221875,0.002418607473373413,0
92,21,ComponentGatedV1_LS010-vs-NaiveAug_LS010,0.0,0.0,0.013227834029400615,-0.0010449871712586711,0.0025625228881835938,0
92,21,ComponentGatedV1_LS010-vs-SoftWeight_noReject_LS010,0.0,0.0,0.06314582013069314,0.04667895337686545,0.033420950174331665,0
92,21,ComponentGatedV1_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.04060530979582605,0.029455592395679187,0.02133840322494507,0
92,21,ComponentGatedV1_LS010-vs-ArtifactGatePhysio_LS010,0.0,0.0,0.017963295921366307,0.0021359805634802997,0.0006483495235443115,0
