feature,target,pearson,spearman,abs_spearman
clean_artifact_risk_raw_mean,delta_macro_f1_softweight_vs_naive,0.10720217679898716,0.11680246397602216,0.11680246397602216
sas_score_p10,delta_macro_f1_softweight_vs_naive,-0.13871860499726518,-0.11084750905547922,0.11084750905547922
artifact_risk_raw_mean,delta_macro_f1_softweight_vs_naive,0.12443333195857588,0.1078418193970328,0.1078418193970328
artifact_risk_raw_p10,delta_macro_f1_softweight_vs_naive,0.11721578624004113,0.09330155695648717,0.09330155695648717
artifact_risk_raw_std,delta_macro_f1_softweight_vs_naive,0.11438888673536828,0.08386670644445164,0.08386670644445164
clean_content_score_mean,delta_macro_f1_softweight_vs_naive,0.1444733811392709,0.06221951352682442,0.06221951352682442
sas_score_p90,delta_macro_f1_softweight_vs_naive,0.014085405973178066,0.05986695941742653,0.05986695941742653
artifact_risk_raw_p90,delta_macro_f1_softweight_vs_naive,0.1011947116987976,0.04487712511827868,0.04487712511827868
sas_score_mean,delta_macro_f1_softweight_vs_naive,0.008761102393514136,0.027752973147690034,0.027752973147690034
sas_score_std,delta_macro_f1_softweight_vs_naive,-0.02866207791357679,0.01294520612029941,0.01294520612029941
