feature,target,pearson,spearman,abs_spearman
delta_balanced_accuracy_softweight_vs_naive,delta_macro_f1_softweight_vs_naive,0.9939564698396721,0.9734980239282875,0.9734980239282875
delta_macro_f1_softweight_vs_softar,delta_macro_f1_softweight_vs_naive,0.36861627134660097,0.42327410299357215,0.42327410299357215
delta_nll_softweight_vs_naive,delta_macro_f1_softweight_vs_naive,-0.4209450638038863,-0.3886825850953647,0.3886825850953647
delta_ece_softweight_vs_naive,delta_macro_f1_softweight_vs_naive,-0.3275776054490851,-0.3379733428524792,0.3379733428524792
baseline_balanced_accuracy,delta_macro_f1_softweight_vs_naive,-0.24005422495390216,-0.21784333275463977,0.21784333275463977
baseline_macro_f1,delta_macro_f1_softweight_vs_naive,-0.2338760272601965,-0.2122631027012694,0.2122631027012694
clean_artifact_risk_raw_mean,delta_macro_f1_softweight_vs_naive,0.10720217679898716,0.11680246397602216,0.11680246397602216
sas_score_p10,delta_macro_f1_softweight_vs_naive,-0.13871860499726518,-0.11084750905547922,0.11084750905547922
artifact_risk_raw_mean,delta_macro_f1_softweight_vs_naive,0.12443333195857588,0.1078418193970328,0.1078418193970328
artifact_risk_raw_p10,delta_macro_f1_softweight_vs_naive,0.11721578624004113,0.09330155695648717,0.09330155695648717
artifact_risk_raw_std,delta_macro_f1_softweight_vs_naive,0.11438888673536828,0.08386670644445164,0.08386670644445164
clean_content_score_mean,delta_macro_f1_softweight_vs_naive,0.1444733811392709,0.06221951352682442,0.06221951352682442
sas_score_p90,delta_macro_f1_softweight_vs_naive,0.014085405973178066,0.05986695941742653,0.05986695941742653
artifact_risk_raw_p90,delta_macro_f1_softweight_vs_naive,0.1011947116987976,0.04487712511827868,0.04487712511827868
softweight_macro_f1,delta_macro_f1_softweight_vs_naive,0.03807805561877631,0.02948622560366418,0.02948622560366418
softweight_balanced_accuracy,delta_macro_f1_softweight_vs_naive,0.04397204419584859,0.02851445531668427,0.02851445531668427
sas_score_mean,delta_macro_f1_softweight_vs_naive,0.008761102393514136,0.027752973147690034,0.027752973147690034
softar_macro_f1,delta_macro_f1_softweight_vs_naive,-0.02386031396508818,-0.02369236740931849,0.02369236740931849
sas_score_std,delta_macro_f1_softweight_vs_naive,-0.02866207791357679,0.01294520612029941,0.01294520612029941
