target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,-0.02198410204478672,-0.006691347121802249,-0.006685584783554077,0
90,20,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.012309542724064398,-0.006914386724206134,-0.004219681024551392,0
90,21,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,-0.0061233861105782494,-0.013803027473950069,-0.008029893040657043,0
90,21,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.022187077999114957,-0.02526959035842924,-0.012680530548095703,0
90,22,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,0.009220342976706375,0.004145111885702379,0.002070605754852295,0
90,22,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.017497939722878594,-0.005281982126435325,-0.0003904402256011963,0
90,23,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,0.0019556445734841554,-0.024336043198749158,-0.01420682668685913,0
90,23,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,0.018602230719157627,-0.0351960514199362,-0.022412702441215515,0
90,24,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,-0.026084576334272108,0.0022152730294035528,0.0013116896152496338,0
90,24,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,0.015912771224975586,-0.0008828648803926031,0.0002285689115524292,0
91,20,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,0.0057717859745025635,-0.002409440947085839,-0.009460002183914185,0
91,20,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,0.029100873640605374,0.00012679380655689076,-0.007085591554641724,0
91,21,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,-0.02941176470588247,-0.03068651778329201,-0.022458198240825122,-0.026758447531286422,-0.010629266500473022,0
91,21,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,0.005643144675663528,0.023454007453541204,0.00869038701057434,0
91,22,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,-0.0016339869281046804,-0.0030701754385965563,0.05646023239408221,0.004535650226644261,-0.009302854537963867,0
91,22,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,0.01871367522648404,0.012537805283638459,0.0018631517887115479,0
91,23,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,-0.019913962909153538,-0.0052607542393176,-0.007447361946105957,0
91,23,SAS-Cert-SoftSafe-LS-v1.2-vs-SoftWeight_noReject_LS010,0.0,0.0,-0.0374261736869812,-0.01572176858601737,-0.012056976556777954,0
91,24,SAS-Cert-SoftSafe-LS-v1.2-vs-NaiveAug_LS010,0.0,0.0,-0.0014324256352016007,0.004773601262982319,0.007224529981613159,0
