target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.0,0.0,-0.029831688744681215,-0.03681697350099858,-0.02275126427412033,0
90,20,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,0.00034274373735700137,-0.0019974483196071036,-0.0007934346795082092,0
90,21,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.0,0.0,9.135689054216162e-05,-2.210505657392059e-05,-0.0003152070567011833,0
90,21,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,0.0019761834825788235,0.0024245586217888776,0.0013918951153755188,0
90,22,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.0,0.0,0.012448089463370171,0.010099270956731854,0.006352640688419342,0
90,22,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,0.0008062498910086369,0.0026134558630545313,0.0013194531202316284,0
90,23,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.02941176470588236,0.028900760808655557,0.007557526656559538,-0.02639506322891158,-0.015780895948410034,1
90,23,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,-0.0007887414523533448,-0.002403436710118917,-0.0014350414276123047,0
90,24,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.0,0.0,0.0002404281071254205,-0.0007853267748536563,0.0009036660194396973,0
90,24,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,-0.0065117325101579915,-0.009677911256151306,-0.00346413254737854,0
91,20,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,-0.02777777777777768,-0.029086573204220256,0.009194052219390847,0.017217686761626272,0.00047075748443603516,0
91,20,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,-0.0022552541324070696,-0.006627144022080089,-0.000823974609375,0
91,21,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,0.0,0.0,-0.01876672846930369,-0.003395266520372864,-0.004247397184371948,0
91,21,SAS-Cert-SCB-CU-LS-v1.4-vs-SAS-Cert-CU-LS-v1.3,0.0,0.0,-0.0018014907836914062,-0.009114829778033406,-0.005544200539588928,0
91,22,SAS-Cert-SCB-CU-LS-v1.4-vs-NaiveAug_LS010,-0.02777777777777779,-0.027616342344695455,0.03118413516453336,-0.014555128533706774,0.002114593982696533,0
