pool_or_aug_type,n,artifact_score_mean,E_physio_mean,E_style_mean,E_content_mean,v1_4_weight_mean,raw_CE_loss_mean,correctness_mean
ALL,10000,3.9535120114721356,0.5000000001024455,0.5000000001024455,0.5000000001024455,1.0000000095367432,1.187642115035829,0.7868
mild,7000,1.7174578081699354,0.5484718613868047,0.5453131315041599,0.5228412698100188,1.0126137134092195,1.1564610126883532,0.7897142857142857
risky,3000,9.17097181917727,0.3868989904389406,0.3942693601651117,0.4467037041181078,0.9705680338342985,1.2603980205132723,0.78
channel_dropout,1000,1.2393727687001228,0.17258585891872644,0.3122323232423514,0.4698181814523414,0.9823979685306549,1.0808786188340411,0.784
emg_like_burst,1000,25.36046345794201,0.6204444456100464,0.5861212126165628,0.7109696977240965,1.1171122621297835,1.1019378471805599,0.802
frequency_mask,1000,1.1623217256367206,0.5426767682218924,0.5431818183436989,0.44190909091196956,0.9653571500182152,1.2196048690110686,0.788
gaussian_noise,2000,2.5851515386998654,0.7405606041550636,0.5969595967959612,0.7015202022381127,1.1127959342896938,1.1091029511555375,0.8005
mild_frequency_mixup,1000,1.1483651991039514,0.35280808120965956,0.5836363631887361,0.5205252518318594,1.0090612377524375,1.1744444160393577,0.784
strong_channel_dropout,1000,1.0198196507245303,0.052525252621620895,0.07911111115850508,0.23329292979184538,0.8544795914888382,1.4354202909292235,0.756
strong_frequency_mask,1000,1.1326323488652705,0.48772727308515457,0.5175757567202672,0.3958484848383814,0.9401122478842735,1.2438359234300338,0.782
time_crop,1000,1.991267287299037,0.3355656568761915,0.5792020199317485,0.5608686872376129,1.0340306264162065,1.2045797331624994,0.79
time_shift,1000,1.3105745990499853,0.9545454561710358,0.6050202022306621,0.26372727276012303,0.8718571425676346,1.197513549460431,0.781
