target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0,0.0,-0.07901797294616698,-0.10542835336752306,-0.059409357607364655,0
90,20,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.02777777777777779,0.028524513818631525,-0.009442624023982452,-0.05684226678629074,-0.03772107511758804,1
90,21,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0,0.0,0.008347221783229275,0.009814890701605489,0.003948918543756008,0
90,21,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.02941176470588236,0.028665028665028625,-0.07263867514474051,-0.1387661668658831,-0.08186245337128639,1
90,22,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,-0.05882352941176472,-0.05818360657070343,-0.05826611348560877,0.05458949080897152,0.03888976573944092,0
90,22,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,-0.05882352941176472,-0.05818360657070343,-0.029469323158264157,0.05767111074012793,0.040787823498249054,0
90,23,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0,0.0,-0.031387410845075334,-0.06786912098320214,-0.03584156930446625,0
90,23,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.0,0.0,-0.013009958607809888,-0.010529187932312528,-0.005040273070335388,0
90,24,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0,0.0,-0.011395594051906044,0.010329610286346824,0.006739728152751923,0
90,24,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.0,0.0,-0.0028424228940691215,-0.02626725868660107,-0.015524104237556458,0
91,20,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0,0.0,-0.01559779899460928,0.023994572067731812,-0.004289537668228149,0
91,20,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.05555555555555558,0.0586945304437565,0.009843674727848611,-0.013765288115940577,-0.02597150206565857,1
91,21,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,-0.11111111111111116,-0.11400283797729627,-0.00521635157721384,0.0008580628464666118,0.012708514928817749,0
91,21,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.006535947712418277,0.007002801120448154,0.0031044329915727864,-0.07297598960380075,-0.03810122609138489,1
91,22,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,0.0032679738562091387,0.002646815550041315,0.05745444297790528,0.009211272246248958,0.041486144065856934,1
91,22,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_AugMixTF_LS010,0.03104575163398693,0.03026315789473677,0.03274183954511367,0.04783781587724101,0.04112863540649414,1
91,23,RiskMixed_SAS-Cert-TFConsistency_v0-vs-RiskMixed_NaiveTF-Aug_LS010,-0.05882352941176472,-0.06063596491228074,0.03948112555912564,0.2719340300757538,0.04849699139595032,0
