pool,aug_type,n,gamma_mean,gamma_std,gamma_p10,gamma_p50,gamma_p90,artifact_score_mean,E_physio_mean,E_style_mean
regular,ALL,6000,0.6528052739767979,0.3076037050576863,0.05394231155514717,0.8292162120342255,0.861110943555832,1.581825144531826,0.4999999995343387,0.4999999995343387
regular,channel_dropout,1000,0.6470696470104158,0.31268714544025056,0.05377349257469177,0.8288688957691193,0.8612698554992676,1.2377072027251124,0.1041355924345553,0.25589830442890527
regular,frequency_mask,1000,0.6481727501936256,0.31342901627015646,0.05351305902004242,0.8304948806762695,0.8613249659538269,1.1691407902687787,0.5283389820083976,0.497423728896305
regular,gaussian_noise,1000,0.6567444964312017,0.30272535752469765,0.054641444236040115,0.8277196884155273,0.8606891214847565,2.5873051100969313,0.7125423755645752,0.5648644056543708
regular,mild_frequency_mixup,1000,0.6552620274685323,0.30599309248002304,0.05421558395028114,0.833895742893219,0.8615832090377807,1.1491001951098443,0.3821694906279445,0.5531186440102756
regular,time_crop,1000,0.6550152426064014,0.3075147506907979,0.05424829237163067,0.829713761806488,0.8613758325576782,2.036644360437989,0.3490847448296845,0.5602711866311729
regular,time_shift,1000,0.6545674801506102,0.30296138411482754,0.05367301367223263,0.8262521028518677,0.8596954584121704,1.311053208552301,0.9237288117408753,0.5684237275850028
riskmixed,ALL,10000,0.6532956597868353,0.30706944732140207,0.053662870079278946,0.8289620876312256,0.861056387424469,3.9535120114721356,0.5000000001024455,0.5000000001024455
riskmixed,channel_dropout,1000,0.6572187516465783,0.3033797545000124,0.05470870546996594,0.8303339183330536,0.8614445686340332,1.2393727687001228,0.17258585891872644,0.3122323232423514
riskmixed,emg_like_burst,1000,0.6616565537825226,0.30103639677288974,0.05471839308738709,0.830056220293045,0.8606994450092316,25.36046345794201,0.6204444456100464,0.5861212126165628
riskmixed,frequency_mask,1000,0.6567182459644973,0.3066087522403501,0.053919782117009166,0.8304476737976074,0.8618575215339661,1.1623217256367206,0.5426767682218924,0.5431818183436989
riskmixed,gaussian_noise,2000,0.6602487276419997,0.3006072361492854,0.05477437563240528,0.829520583152771,0.8608466804027557,2.5851515386998654,0.7405606041550636,0.5969595967959612
riskmixed,mild_frequency_mixup,1000,0.6569723368175328,0.30555070333019785,0.054820549115538596,0.8328462541103363,0.8619117021560669,1.1483651991039514,0.35280808120965956,0.5836363631887361
riskmixed,strong_channel_dropout,1000,0.6264106216430664,0.32617199170858,0.0506903126835823,0.8246473371982574,0.8592016875743866,1.0198196507245303,0.052525252621620895,0.07911111115850508
riskmixed,strong_frequency_mask,1000,0.650087904792279,0.3126522426042107,0.0532856248319149,0.8295432031154633,0.8619857013225556,1.1326323488652705,0.48772727308515457,0.5175757567202672
riskmixed,time_crop,1000,0.6531726999469102,0.3054669376470808,0.053568385541439056,0.8282600045204163,0.8610988199710846,1.991267287299037,0.3355656568761915,0.5792020199317485
riskmixed,time_shift,1000,0.6502220279909671,0.30619482233449297,0.05357871577143669,0.8270831108093262,0.8592198133468628,1.3105745990499853,0.9545454561710358,0.6050202022306621
