pool,aug_type,n,prior_agreement_rate,prototype_agreement_rate,both_agreement_rate,proto_margin_mean,prior_margin_mean
regular,ALL,6000,0.7825,0.7785,0.7381666666666666,0.03095110168059667,2.555417570869128
regular,channel_dropout,1000,0.778,0.767,0.733,0.030370778381824493,2.5325074291229246
regular,frequency_mask,1000,0.767,0.779,0.734,0.031114781558513643,2.5551802082061768
regular,gaussian_noise,1000,0.792,0.781,0.741,0.031000660955905913,2.5533066143989562
regular,mild_frequency_mixup,1000,0.786,0.781,0.739,0.03192957532405853,2.603635458946228
regular,time_crop,1000,0.788,0.776,0.742,0.03127682608366013,2.5921204185485838
regular,time_shift,1000,0.784,0.787,0.74,0.03001398777961731,2.4957552959918976
riskmixed,ALL,10000,0.7864,0.7767,0.7401,0.030524500328302385,2.559306250834465
riskmixed,channel_dropout,1000,0.791,0.781,0.74,0.0312473748922348,2.61388162279129
riskmixed,emg_like_burst,1000,0.799,0.786,0.752,0.031166918992996215,2.6003625516891478
riskmixed,frequency_mask,1000,0.786,0.782,0.744,0.030995905756950378,2.581022549152374
riskmixed,gaussian_noise,2000,0.7995,0.7835,0.748,0.031251749336719516,2.563426671862602
riskmixed,mild_frequency_mixup,1000,0.789,0.782,0.744,0.031911750137805936,2.6033413581848146
riskmixed,strong_channel_dropout,1000,0.744,0.753,0.715,0.02572926390171051,2.392370777130127
riskmixed,strong_frequency_mask,1000,0.78,0.769,0.736,0.03111058634519577,2.625434065103531
riskmixed,time_crop,1000,0.791,0.774,0.74,0.03069447374343872,2.508156054496765
riskmixed,time_shift,1000,0.785,0.773,0.734,0.029885230839252472,2.5416401860713957
