target_subject,seed,comparison,delta_balanced_accuracy,delta_macro_f1,delta_ece,delta_nll,delta_brier,win_macro_f1
90,20,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,-0.019471723692757764,-0.005200033466400494,-0.006749317049980164,0
90,21,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,-0.00455215999058315,-0.0053242081592082754,-0.0024656103923916817,0
90,22,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,0.02201051712036131,0.010269654842792242,0.003679506480693817,0
90,23,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,0.010407609598977213,0.01146901956580551,0.006069876253604889,0
90,24,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,-0.02941176470588236,-0.028900760808655557,-0.004047010626111708,0.010189672844509057,0.004347264766693115,0
91,20,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,0.01795285855020795,0.02107116355977323,0.005138486623764038,0
91,21,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,-0.00022117750985284346,-0.00020003058425460685,-0.0003189891576766968,0
91,22,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.02450980392156854,0.025000000000000133,-0.012571053845541802,0.00036365886607947484,-0.04037073254585266,1
91,23,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,-0.02941176470588247,-0.03068651778329201,0.040153124502726956,0.043060987126858574,0.007934987545013428,0
91,24,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,-0.0008957488196236901,0.006136987779443714,-0.0013485997915267944,0
92,20,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,-0.06818181818181812,-0.06594904405304769,0.03510509716703536,0.01756845859403261,0.016401097178459167,0
92,21,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.0,0.0,-0.023226683444165175,-4.4987896352932655e-05,0.000773012638092041,0
92,22,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.022727272727272707,0.022138372343570745,-0.02603739880500955,-8.947418049681799e-05,-0.011536046862602234,1
92,23,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,0.022727272727272707,0.02114142758552706,0.02117140622849159,0.002862369866449499,-0.0011272132396697998,1
92,24,RiskMixed_OracleRiskReject_LS010-vs-RiskMixed_NaiveAug_LS010,-0.022727272727272707,-0.021704597272312665,-0.056456762425442966,0.0020662480076097944,0.002246856689453125,0
